hostname,ip,type,status
yunwei1,192.168.254.1,host,1
yunwei2,192.168.254.2,host,1
yunwei3,192.168.254.3,host,1
yunwei4,192.168.254.4,host,1
yunwei5,192.168.254.5,host,1
yunwei6,192.168.254.6,host,1
yunwei7,192.168.254.7,host,1
kvm110,192.168.254.110,kvm,1
kvm111,192.168.254.111,kvm,1
kvm112,192.168.254.112,kvm,1
kvm113,192.168.254.113,kvm,1
kvm114,192.168.254.114,kvm,1
kvm115,192.168.254.115,kvm,1
kvm116,192.168.254.116,kvm,close
kvm117,192.168.254.117,kvm,close
kvm118,192.168.254.118,kvm,close
kvm119,192.168.254.119,kvm,close
kvm120,192.168.254.120,kvm,1
kvm121,192.168.254.121,kvm,1
kvm122,192.168.254.122,kvm,1
kvm123,192.168.254.123,kvm,1
kvm124,192.168.254.124,kvm,1
kvm125,192.168.254.125,kvm,1
kvm126,192.168.254.126,kvm,close
kvm127,192.168.254.127,kvm,close
kvm128,192.168.254.128,kvm,close
kvm129,192.168.254.129,kvm,close
kvm130,192.168.254.130,kvm,close
kvm131,192.168.254.131,kvm,close
kvm132,192.168.254.132,kvm,close
kvm133,192.168.254.133,kvm,close
kvm134,192.168.254.134,kvm,close
kvm135,192.168.254.135,kvm,close
kvm136,192.168.254.136,kvm,close
kvm137,192.168.254.137,kvm,close
kvm138,192.168.254.138,kvm,close
kvm139,192.168.254.139,kvm,close
kvm140,192.168.254.140,kvm,close
kvm141,192.168.254.141,kvm,close
kvm142,192.168.254.142,kvm,close
kvm143,192.168.254.143,kvm,close
kvm144,192.168.254.144,kvm,close
kvm145,192.168.254.145,kvm,close
kvm146,192.168.254.146,kvm,close
kvm147,192.168.254.147,kvm,close
kvm148,192.168.254.148,kvm,close
kvm149,192.168.254.149,kvm,close
kvm150,192.168.254.150,kvm,close
kvm151,192.168.254.151,kvm,close
kvm152,192.168.254.152,kvm,close
kvm153,192.168.254.153,kvm,close
kvm154,192.168.254.154,kvm,close
kvm155,192.168.254.155,kvm,close
kvm156,192.168.254.156,kvm,close
kvm157,192.168.254.157,kvm,close
kvm158,192.168.254.158,kvm,close
kvm159,192.168.254.159,kvm,close
kvm160,192.168.254.160,kvm,close
kvm161,192.168.254.161,kvm,close
kvm162,192.168.254.162,kvm,close
kvm163,192.168.254.163,kvm,close
kvm164,192.168.254.164,kvm,close
kvm165,192.168.254.165,kvm,close
kvm166,192.168.254.166,kvm,close
kvm167,192.168.254.167,kvm,close
kvm168,192.168.254.168,kvm,close
kvm169,192.168.254.169,kvm,close
kvm170,192.168.254.170,kvm,close
kvm171,192.168.254.171,kvm,close
kvm172,192.168.254.172,kvm,close
kvm173,192.168.254.173,kvm,close
kvm174,192.168.254.174,kvm,close
kvm175,192.168.254.175,kvm,close
kvm176,192.168.254.176,kvm,close
kvm177,192.168.254.177,kvm,close
kvm178,192.168.254.178,kvm,close
kvm179,192.168.254.179,kvm,close
docker1b,192.168.254.211,vmware,1
